id,type,character,pos_x,pos_y,scale,eye,eye_brows,mouse,option1,option2,option3,voice,font_size,words,choise1,choise2,target_flag,jump_id1,jump_id2
1001001,1,yukari,,,,normal,normal,smile,,,,,,,,,,,
1001002,1,master,512,384,,,,,,,,,,(主人登場),,,,,
1001003,1,butler,812,384,,,,,,,,,,(執事登場),,,,,
1001004,3,master,,,,,,,,,,master01,,ようこそいらっしゃいました、\n急な雨でさぞお疲れでしょう。\nどうぞお入りください,,,,,
1001005,1,maid,212,384,,,,,,,,,,(メイド登場),,,,,
1001006,3,butler,,,,,,,,,,,20,お部屋までご案内いたします(小声),,,,,
1001007,2,butler,,,,,,,,,,,,(執事退場),,,,,
1001008,3,maid,,,0.5,,,,,,,,10,フォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入るフォントサイズが小さいとたくさん文字が入る,,,,,
1001009,1,detective,812,384,,,,,,,,,,(刑事登場),,,,,
1001010,3,detective,,,1,,,,,,,,100,でかい文字！,,,,,
1001011,2,master,,,,,,,,,,,,(退場),,,,,
1001012,2,maid,,,,,,,,,,,,(退場),,,,,
1001013,2,detective,,,,,,,,,,,,(退場),,,,,
1001014,4,,,,,,,,,,,,,最初にジャンプ,,,,1001001,
